               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,    metrics/mAP_0.75,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.02203,           0.0095454,                   0,              0.9672,             0.97098,             0.98612,             0.91313,             0.78563,            0.017847,           0.0051466,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.022028,           0.0095072,                   0,             0.97088,             0.96998,             0.98548,             0.91262,             0.78381,             0.01781,           0.0051073,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.022009,           0.0097089,                   0,             0.96767,             0.97046,             0.98715,             0.91307,             0.78501,            0.017841,           0.0051051,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.022106,           0.0096324,                   0,             0.97147,             0.97046,             0.98694,             0.91447,              0.7865,            0.017736,           0.0050858,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.021811,           0.0095543,                   0,             0.96926,             0.97385,             0.98677,             0.91278,             0.78671,            0.017736,           0.0050948,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.021914,            0.009727,                   0,             0.96729,              0.9724,             0.98517,             0.91488,             0.78514,            0.017776,           0.0051144,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.021735,           0.0096739,                   0,             0.96959,             0.97258,             0.98581,              0.9106,             0.78383,            0.017819,           0.0051059,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.021158,           0.0094774,                   0,              0.9689,              0.9753,             0.98717,             0.91093,             0.78514,            0.017829,           0.0050958,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.020853,           0.0093464,                   0,             0.96915,             0.97347,             0.98687,             0.91178,             0.78588,             0.01781,           0.0050981,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.021157,           0.0094223,                   0,             0.97157,              0.9724,             0.98651,             0.91408,             0.78611,             0.01779,           0.0050918,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.021768,           0.0096475,                   0,             0.97055,             0.97359,             0.98632,             0.91747,             0.78754,            0.017787,            0.005089,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.021268,           0.0094986,                   0,             0.97022,             0.97191,             0.98623,             0.91613,             0.78738,            0.017778,           0.0050788,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.021544,           0.0094084,                   0,             0.97073,             0.97482,             0.98643,             0.91688,             0.78801,            0.017785,           0.0050734,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.021678,           0.0094052,                   0,             0.97088,             0.97482,             0.98709,             0.91567,             0.78802,            0.017735,           0.0050702,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.020809,           0.0093906,                   0,              0.9702,             0.97337,             0.98689,             0.91741,             0.78857,            0.017708,           0.0050727,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.02098,           0.0094451,                   0,             0.97165,             0.97337,             0.98672,             0.91678,             0.78845,            0.017709,           0.0050748,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.021067,           0.0094345,                   0,             0.97258,             0.97288,             0.98675,             0.91874,             0.78923,            0.017691,           0.0050714,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.020574,           0.0091054,                   0,             0.97075,             0.97337,             0.98591,             0.91912,             0.78988,            0.017671,           0.0050741,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.020921,           0.0092868,                   0,              0.9729,             0.97368,              0.9865,             0.91925,             0.79049,            0.017648,           0.0050748,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.020797,           0.0090483,                   0,             0.97095,              0.9724,             0.98601,             0.91833,             0.79044,             0.01764,            0.005081,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.02093,            0.009396,                   0,             0.97146,             0.97242,             0.98632,             0.91736,             0.78993,            0.017625,           0.0050784,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.02037,           0.0093791,                   0,             0.97146,             0.97267,             0.98669,             0.91734,             0.79093,            0.017619,           0.0050804,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.019887,           0.0091147,                   0,             0.97103,             0.97395,             0.98691,             0.91891,             0.79102,            0.017603,           0.0050791,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.02048,           0.0090437,                   0,             0.97055,             0.97366,             0.98728,             0.91811,             0.79182,            0.017582,           0.0050785,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.020375,           0.0090987,                   0,             0.97009,             0.97394,             0.98727,              0.9189,             0.79176,            0.017561,           0.0050788,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.020082,           0.0091107,                   0,             0.97008,             0.97355,             0.98721,              0.9175,             0.79117,            0.017559,            0.005079,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.020712,           0.0091873,                   0,             0.96962,             0.97382,             0.98717,             0.91867,             0.79201,            0.017554,           0.0050792,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.019786,           0.0089479,                   0,             0.96972,             0.97337,             0.98723,             0.91931,             0.79226,             0.01755,           0.0050797,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.020367,           0.0091495,                   0,             0.96917,             0.97433,             0.98719,             0.91941,             0.79238,            0.017547,           0.0050815,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.019737,           0.0088704,                   0,              0.9687,             0.97419,             0.98727,             0.91973,             0.79212,            0.017543,           0.0050836,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.020096,            0.009046,                   0,             0.96873,             0.97522,             0.98729,             0.92059,             0.79258,            0.017542,           0.0050851,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.020109,           0.0089377,                   0,             0.96812,             0.97627,             0.98734,             0.92065,             0.79234,            0.017542,           0.0050877,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.020066,            0.008884,                   0,             0.96808,             0.97627,             0.98737,             0.91962,             0.79231,            0.017537,           0.0050886,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.019832,           0.0088059,                   0,              0.9676,             0.97579,             0.98724,             0.92051,             0.79261,            0.017524,           0.0050898,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.020074,           0.0089816,                   0,             0.96781,             0.97558,             0.98714,             0.92019,             0.79255,            0.017516,           0.0050913,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.019442,           0.0090243,                   0,             0.96777,              0.9753,             0.98712,             0.92009,             0.79271,            0.017513,           0.0050925,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.019693,           0.0088104,                   0,             0.96878,              0.9753,             0.98755,             0.92046,             0.79329,            0.017511,           0.0050942,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.020058,           0.0088058,                   0,             0.96926,              0.9753,             0.98765,             0.92038,             0.79316,            0.017505,           0.0050941,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.019124,           0.0088641,                   0,             0.96969,             0.97612,              0.9877,             0.92051,              0.7936,            0.017498,           0.0050935,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.019086,           0.0091205,                   0,             0.96951,             0.97579,             0.98761,             0.92063,             0.79378,            0.017495,           0.0050941,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.019156,           0.0089299,                   0,             0.96998,             0.97676,              0.9877,              0.9222,             0.79409,            0.017493,           0.0050942,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.019374,           0.0088586,                   0,             0.96996,             0.97676,             0.98767,             0.92225,             0.79458,             0.01749,           0.0050962,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.018835,           0.0085389,                   0,             0.96976,             0.97676,             0.98767,             0.92238,              0.7948,            0.017486,           0.0050971,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.018852,           0.0087971,                   0,             0.96957,             0.97676,             0.98763,             0.92198,             0.79421,            0.017482,           0.0050977,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.018903,            0.008586,                   0,             0.96959,             0.97676,             0.98758,             0.92197,             0.79422,            0.017482,           0.0050998,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.018615,           0.0087168,                   0,             0.96923,             0.97676,             0.98762,             0.92167,             0.79413,             0.01748,            0.005101,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.01841,            0.008772,                   0,             0.97018,             0.97675,              0.9876,             0.92231,             0.79419,            0.017477,            0.005102,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.018629,           0.0086957,                   0,             0.97015,             0.97676,             0.98757,              0.9224,             0.79412,            0.017476,           0.0051027,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.018348,           0.0087246,                   0,             0.96949,             0.97676,             0.98754,             0.92301,              0.7944,            0.017475,           0.0051037,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018427,           0.0084283,                   0,             0.97008,             0.97676,             0.98748,             0.92254,              0.7941,            0.017472,           0.0051043,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.018725,           0.0085485,                   0,             0.97017,             0.97651,             0.98743,             0.92289,              0.7941,            0.017473,           0.0051058,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.018239,           0.0085664,                   0,             0.97018,             0.97676,             0.98745,             0.92303,             0.79399,            0.017471,           0.0051064,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.017691,           0.0084859,                   0,             0.97002,             0.97676,             0.98749,              0.9229,             0.79377,            0.017467,           0.0051074,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.017828,           0.0083727,                   0,             0.97062,             0.97676,             0.98759,             0.92313,             0.79366,            0.017466,            0.005108,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017773,           0.0083489,                   0,             0.97064,             0.97648,             0.98754,              0.9236,             0.79379,            0.017463,           0.0051091,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017543,           0.0082346,                   0,             0.97064,             0.97648,             0.98727,             0.92369,             0.79392,            0.017458,           0.0051094,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.017699,             0.00837,                   0,             0.97015,             0.97585,             0.98718,             0.92402,             0.79406,            0.017454,           0.0051119,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.017256,           0.0083621,                   0,             0.97015,             0.97582,             0.98706,             0.92419,             0.79426,            0.017454,           0.0051141,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017415,           0.0082087,                   0,             0.97061,              0.9757,             0.98707,             0.92434,              0.7948,            0.017453,           0.0051153,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.017238,           0.0082167,                   0,             0.97061,             0.97565,             0.98705,             0.92443,             0.79598,            0.017455,           0.0051167,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.017253,           0.0080318,                   0,              0.9711,              0.9762,             0.98757,             0.92393,              0.7958,            0.017454,           0.0051182,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.016614,           0.0080323,                   0,             0.97325,             0.97385,             0.98721,             0.92388,             0.79604,            0.017453,           0.0051202,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016616,           0.0080563,                   0,             0.97321,             0.97385,             0.98728,             0.92338,             0.79646,            0.017453,            0.005122,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017353,           0.0081583,                   0,             0.97349,             0.97433,             0.98727,             0.92355,             0.79646,            0.017449,            0.005123,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016968,           0.0082708,                   0,             0.97328,             0.97433,             0.98715,             0.92284,             0.79636,            0.017446,           0.0051244,                   0,            0.000298,            0.000298,            0.000298
